Report Date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Total
Fri 12 Feb 2021,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,2,0,1,0,2,2,2,9,12,8,9,1,6,4,2,1,5,3,7,4,4,4,1,2,3,6,6,2,6,3,8,6,8,6,8,9,4,9,3,5,5,13,6,10,6,15,12,5,7,5,1,5,8,3,7,6,2,4,3,5,6,2,2,1,2,2,2,0,4,0,1,4,1,1,0,1,0,1,0,0,0,349
Sat 13 Feb 2021,2,0,1,2,1,1,1,0,1,0,0,1,2,0,0,2,0,0,0,1,0,6,6,12,7,3,2,3,6,4,1,3,3,1,0,3,1,0,1,6,1,1,2,2,6,3,4,2,4,2,4,2,5,4,7,2,6,4,3,7,3,6,3,3,2,3,0,5,2,1,2,1,1,2,1,1,3,1,2,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,203
Sun 14 Feb 2021,1,2,0,0,0,1,0,3,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,2,2,1,4,0,3,0,0,1,1,1,1,3,0,3,0,0,4,1,2,1,2,1,3,3,6,6,4,1,3,0,0,0,1,3,3,3,3,1,2,5,0,0,0,3,0,2,1,4,1,3,1,0,0,3,3,5,6,1,3,1,0,2,2,1,0,0,0,0,1,0,0,137
Mon 15 Feb 2021,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,2,0,0,1,1,9,10,11,1,3,2,3,0,3,3,7,2,7,2,3,3,4,8,5,14,5,8,11,10,11,6,8,5,9,7,6,5,7,6,6,5,4,10,8,13,7,9,3,6,7,8,5,9,3,3,4,3,7,4,1,2,3,4,1,0,0,5,0,1,4,2,0,2,1,2,3,0,0,2,373
Tue 16 Feb 2021,0,1,2,0,2,1,0,1,3,1,1,0,1,0,0,0,2,0,0,0,1,1,11,8,12,6,3,1,4,3,2,1,4,4,7,2,6,5,2,2,5,4,3,11,8,5,4,8,10,10,14,6,10,9,5,3,4,7,7,13,10,13,15,7,5,4,1,3,6,2,3,2,2,3,4,3,5,2,7,1,1,1,1,2,2,0,0,1,1,0,0,2,1,1,0,2,359
Wed 17 Feb 2021,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,1,2,3,1,5,7,7,13,6,3,7,5,1,4,2,3,3,4,4,4,5,4,3,4,9,6,5,6,5,6,9,9,15,10,8,6,6,5,3,6,5,9,13,7,7,6,6,7,4,5,0,1,3,2,2,4,5,3,3,0,3,6,7,6,4,2,2,2,0,2,1,0,1,0,1,1,1,1,1,354
Thu 18 Feb 2021,1,2,0,0,0,1,2,0,1,0,1,0,1,1,1,0,1,1,2,2,0,5,10,9,16,4,3,4,5,3,3,4,2,3,2,0,2,7,5,3,6,7,6,8,5,11,7,3,9,6,8,9,7,8,2,6,8,9,9,4,10,12,8,2,5,3,5,6,2,9,4,3,4,1,4,1,1,3,4,2,7,2,0,2,2,7,0,0,0,1,0,2,1,0,3,1,362
Fri 19 Feb 2021,1,4,1,2,3,1,2,1,2,2,0,0,3,1,0,4,1,1,4,4,1,3,6,7,12,7,3,2,9,4,6,5,0,2,5,8,5,1,8,5,3,6,5,11,5,12,4,9,6,13,9,3,9,7,9,7,5,7,8,7,6,10,8,6,8,6,4,3,7,8,1,4,4,2,3,1,1,2,3,2,3,4,1,4,4,3,2,3,1,1,1,2,1,0,1,1,402
Sat 20 Feb 2021,2,4,1,1,0,1,0,0,0,0,2,2,0,0,0,3,1,3,0,1,0,0,6,6,8,3,2,2,1,4,2,2,1,0,0,4,1,2,1,3,4,5,6,9,1,2,5,2,2,3,4,3,8,7,4,6,2,5,2,10,4,1,1,3,1,3,7,1,2,2,0,1,0,4,3,2,1,2,1,3,0,0,3,2,0,2,1,0,0,0,0,5,2,2,3,0,221
Sun 21 Feb 2021,0,2,1,0,2,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,6,1,3,1,0,1,1,0,2,1,1,1,2,1,1,1,2,1,3,2,3,2,2,1,3,5,1,0,1,4,4,5,0,2,3,1,2,3,2,4,0,3,4,4,1,1,0,2,0,2,2,2,4,0,1,2,0,0,1,1,1,1,1,0,0,4,0,1,134
Mon 22 Feb 2021,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,2,9,6,13,15,4,1,4,0,4,1,7,8,7,5,1,4,10,6,7,8,4,14,7,7,2,9,8,9,6,3,9,7,6,12,9,7,8,12,15,8,6,5,6,7,3,2,5,2,7,6,4,3,3,0,7,6,2,4,2,4,1,3,3,2,3,0,3,2,2,0,0,1,4,0,399
Tue 23 Feb 2021,1,0,0,1,1,0,1,1,1,1,0,4,3,0,2,0,0,0,0,1,0,1,9,8,14,4,3,4,2,4,2,1,2,8,2,1,4,4,9,7,6,7,5,5,8,10,4,8,4,9,10,7,7,11,9,7,4,5,18,14,14,13,6,6,8,6,9,4,3,7,3,0,3,2,5,3,1,1,2,3,1,3,0,4,5,4,2,1,0,0,0,1,1,1,1,0,387
Wed 24 Feb 2021,2,1,0,1,1,0,1,0,1,2,4,1,2,0,2,0,0,1,2,1,2,1,9,7,14,1,4,3,3,4,1,1,1,5,6,6,5,4,3,9,5,2,7,10,5,10,6,3,7,13,13,5,11,7,7,4,7,4,11,12,16,16,8,7,10,2,2,5,3,7,10,9,3,2,7,2,3,1,3,3,1,0,4,3,2,3,1,1,0,0,1,0,2,2,2,0,401
Thu 25 Feb 2021,1,1,0,2,1,0,3,0,3,0,2,1,0,0,0,2,0,1,3,1,3,2,6,6,16,4,5,6,4,1,4,6,4,4,3,0,8,6,3,4,5,5,7,3,5,7,12,11,2,7,9,15,7,7,7,7,4,10,9,9,18,14,6,4,6,4,7,4,5,3,5,1,5,2,1,4,4,4,10,1,1,1,1,4,1,7,3,4,1,0,0,0,0,4,0,1,400
Fri 26 Feb 2021,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,2,0,3,0,1,3,1,13,11,5,3,4,3,3,2,2,2,6,6,8,3,2,10,6,5,11,8,11,6,11,8,7,16,10,5,11,11,9,5,4,6,6,15,11,17,7,4,8,8,4,5,5,5,5,3,5,4,6,2,3,0,1,1,0,2,5,1,1,1,4,0,4,2,0,2,1,1,0,0,0,398
Sat 27 Feb 2021,0,0,2,2,1,1,1,1,1,0,1,4,0,2,0,0,0,0,2,2,1,1,4,9,5,6,1,5,6,3,4,5,0,1,3,7,3,2,5,4,7,4,2,0,8,5,2,5,5,3,14,4,2,6,3,5,3,2,7,4,1,0,1,1,6,1,3,2,2,3,0,3,1,2,4,3,2,0,4,1,1,1,0,0,1,2,1,2,0,0,0,1,2,3,0,0,240
Sun 28 Feb 2021,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3,2,0,0,2,1,1,2,3,2,3,2,1,3,2,0,6,8,3,4,0,3,4,3,2,1,2,5,3,1,4,2,1,3,4,0,1,1,1,2,0,0,0,0,2,1,2,1,3,1,1,0,0,2,0,2,2,1,3,1,1,1,0,0,0,4,0,132
Mon 01 Mar 2021,0,0,3,1,0,4,0,2,3,0,0,0,2,0,3,0,2,1,0,1,0,1,4,15,8,9,3,4,1,3,8,4,0,5,3,2,4,4,11,9,8,4,6,7,4,8,10,8,10,8,6,7,8,11,4,7,9,2,9,13,4,13,10,6,6,7,2,2,6,3,5,7,0,4,6,7,1,3,6,2,0,2,0,2,1,2,2,2,4,0,2,2,4,1,3,0,396
